x,y
541,680
371,179
506,768
317,997
44,409
480,331
637,254
907,947
158,360
700,558
242,242
336,453
508,131
644,687
529,448
985,795
101,785
445,31
461,526
830,410
308,956
924,897
935,601
843,444
64,236
646,665
433,291
37,107
847,609
164,258
857,929
348,264
752,55
586,477
19,807
671,109
442,132
452,720
685,635
123,18
421,304
138,361
65,583
806,214
483,734
213,816
263,336
204,960
349,341
246,553
106,343
689,553
912,398
715,254
11,870
623,10
277,194
952,133
725,608
629,615
228,680
370,57
528,719
947,634
514,860
617,55
174,224
752,795
309,457
477,732
381,683
849,734
865,517
373,879
579,788
760,304
595,902
297,439
705,741
171,803
260,610
345,201
759,736
632,708
101,234
287,831
727,632
846,359
592,924
852,549
523,354
731,846
903,686
206,413
35,676
528,506
54,647
767,296
815,448
803,42
